Campus,Group,School / Department,Level,Category,Number of Applications,Date,Number of Acceptances,Month,Year,Main Level
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Undergraduate,Overseas,202.0,Sep 2023,20.0,Sep,2023,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of PG Medicine,Postgraduate Research,Overseas,18.0,Sep 2023,1.0,Sep,2023,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of PG Medicine,Postgraduate Taught,Overseas,21.0,Sep 2023,1.0,Sep,2023,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Research,Overseas,8.0,Sep 2023,0.0,Sep,2023,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Taught,Overseas,1.0,Sep 2023,0.0,Sep,2023,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Undergraduate,Overseas,59.0,Sep 2023,8.0,Sep,2023,Undergraduate Degree
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Accounting and Finance,Foundation Undergraduate (1+2),Overseas,21.0,Sep 2023,2.0,Sep,2023,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Centre for Foundation Studies,Foundation Non Degree,Overseas,59.0,Sep 2023,9.0,Sep,2023,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Economics and International Studies,Foundation Undergraduate (1+2),Overseas,41.0,Sep 2023,12.0,Sep,2023,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,English and Digital Media,Foundation Undergraduate (1+2),Overseas,12.0,Sep 2023,2.0,Sep,2023,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Enterprise and Entrepreneurship,Foundation Undergraduate (1+2),Overseas,21.0,Sep 2023,5.0,Sep,2023,Foundation
Buckingham,Foundation Undergraduate (1+2) and Foundation Non Degree,Management,Foundation Undergraduate (1+2),Overseas,71.0,Sep 2023,13.0,Sep,2023,Foundation
